기본 정보,,,,,,,,,,,,,,,　,　,　,　,　,　,서버,　,　,추가 IP 정보,,,추가 DISK 정보,,,,,,서버 이중화,,SW 정보,,,,보안 설정,,접근 제어,보안 에이전트,,
순번,SYSTEM명,Cloud 구분,환경,현재 상태,센터 ,Zone ,POD,CNODE,CNODE IP,기능 구분 ,기능 설명,이름(HERA or Console),기동 여부,기본 IP,"""NAT"" or ""Floating IP""",접근제어 이름,hostname,OS,CORE(Count),MEM(GB),DB ,WEB ,AP,Storage_IP,Services_IP,Virtual_IP,OS Disk Type ,OS Disk(GB),추가 Disk Type,추가 Disk(GB),외장 Disk Type ,외장 Disk(GB),이중화 구성,이중화 방식 ,OS Kernel,HA S/W,JDK,Python,SELinux 설정 확인,서버 방화벽 사용 여부,OS 접근제어,VITA,서버백신,웹쉘
101,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,AP,　,m1-jpt-prd-mon-a01,Running,10.2.14.103,-,m1-jpt-prd-mon-a01,m1-jpt-prd-mon-a01,centos-7.9-64bit,8,16,-,-,"JAR_FILE: message_bridge.war
Spring Boot Version: 2.7.5
JAR_FILE: luppiter_scheduler-1.0.0.jar
Spring Boot Version: 3.3.5
JAR_FILE: luppiter-web.war
Spring Boot Version: 2.7.5",-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,"openjdk version ""17""",Python 2.7.5,Disabled,사용안함,O,O,O,X
102,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-jpt-prd-mon-a02,Running,10.2.14.104,-,m1-jpt-prd-mon-a02,m1-jpt-prd-mon-a02,centos-7.9-64bit,8,16,-,-,"JAR_FILE: luppiter-web.war
Spring Boot Version: 2.7.5
JAR_FILE: SlackEventDispatcher-1.0.0.jar
Spring Boot Version: 3.3.5
JAR_FILE: message_bridge.war
Spring Boot Version: 2.7.5",-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,"openjdk version ""17""",Python 2.7.5,Disabled,사용안함,O,O,O,X
103,LUPPITER,민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,AP,　,m1-jpt-prd-mon-a03,Running,10.2.14.107,-,m1-jpt-prd-mon-a03,m1-jpt-prd-mon-a03,centos-7.9-64bit,8,8,-,-,grafana-9.0.6,10.2.8.99,-,10.2.14.139,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,X,X
104,LUPPITER,민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,AP,　,m1-jpt-prd-mon-a04,Running,10.2.14.108,-,m1-jpt-prd-mon-a04,m1-jpt-prd-mon-a04,centos-7.9-64bit,8,8,-,-,-,10.2.8.115,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.42.2.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,X,X
105,LUPPITER,민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,AP,　,m1-jpt-prd-mon-a05,Running,10.2.14.205,-,m1-jpt-prd-mon-a05,m1-jpt-prd-mon-a05,rocky-8.10-64bit,4,8,-,-,podman 4.9.4,-,-,10.2.14.207,SSD,32 GB,SSD,70 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,X
106,LUPPITER,민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode07,10.2.7.7,AP,　,m1-jpt-prd-mon-a06,Running,10.2.14.206,-,m1-jpt-prd-mon-a06,m1-jpt-prd-mon-a06,rocky-8.10-64bit,4,8,-,Apache/2.4.63,podman 4.9.4,-,-,-,SSD,32 GB,SSD,70 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,X
107,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,DB,　,m1-jpt-prd-mon-d01,Running,10.2.14.105,-,m1-jpt-prd-mon-d01,m1-jpt-prd-mon-d01,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,10.2.8.73,-,10.2.14.138,SSD,21.5 GB,SSD,21.5 GB,ISCSI,719.5 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
108,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,DB,　,m1-jpt-prd-mon-d02,Running,10.2.14.106,-,m1-jpt-prd-mon-d02,m1-jpt-prd-mon-d02,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,10.2.8.87,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,719.5 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
109,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,WEB,　,m1-jpt-prd-mon-w01,Running,10.2.14.101,-,m1-jpt-prd-mon-w01,m1-jpt-prd-mon-w01,centos-7.9-64bit,4,4,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
110,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,WEB,　,m1-jpt-prd-mon-w02,Running,10.2.14.102,-,m1-jpt-prd-mon-w02,m1-jpt-prd-mon-w02,centos-7.9-64bit,4,4,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
111,LUPPITER(Prometheus),민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,AP,　,m1-jpt-prd-pro-a01,Running,10.2.14.131,-,m1-jpt-prd-pro-a01,m1-jpt-prd-pro-a01,centos-7.9-64bit,8,8,-,-,Docker version 24.0.2,10.2.8.212,-,10.2.14.155,SSD,21.5 GB,SSD,21.5 GB,ISCSI,1073.9 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,iptable,O,O,X,X
112,LUPPITER(Prometheus),민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,AP,　,m1-jpt-prd-pro-a03,Running,10.2.14.133,-,m1-jpt-prd-pro-a03,m1-jpt-prd-pro-a03,centos-7.9-64bit,8,8,-,-,prometheus version 2.39.1,10.2.8.216,-,10.2.14.156,SSD,21.5 GB,SSD,21.5 GB,ISCSI,1073.9 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
113,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,AP,　,m1-jpt-prd-zab-a01,Running,10.2.14.111,-,m1-jpt-prd-zab-a01,m1-jpt-prd-zab-a01,centos-7.9-64bit,16,16,-,-,zabbix_server 5.0.25,10.2.8.117,-,10.2.14.147,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
114,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-jpt-prd-zab-a02,Running,10.2.14.112,-,m1-jpt-prd-zab-a02,m1-jpt-prd-zab-a02,centos-7.9-64bit,16,16,-,-,-,10.2.8.119,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
115,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode26,10.2.13.26,AP,　,m1-jpt-prd-zab-a03,Running,10.2.14.117,-,m1-jpt-prd-zab-a03,m1-jpt-prd-zab-a03,centos-7.9-64bit,16,32,-,-,zabbix_server 5.0.25,10.2.8.158,-,10.2.14.148,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
116,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-jpt-prd-zab-a04,Running,10.2.14.118,-,m1-jpt-prd-zab-a04,m1-jpt-prd-zab-a04,centos-7.9-64bit,16,16,-,-,-,10.2.8.169,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
117,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode13,10.2.13.13,AP,　,m1-jpt-prd-zab-a05,Running,10.2.14.211,-,m1-jpt-prd-zab-a05,m1-jpt-prd-zab-a05,rocky-8.10-64bit,8,16,-,-,zabbix_server 7.0.3,10.2.8.184,-,10.2.14.213,SSD,32 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
118,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode26,10.2.13.26,AP,　,m1-jpt-prd-zab-a06,Running,10.2.14.212,-,m1-jpt-prd-zab-a06,m1-jpt-prd-zab-a06,rocky-8.10-64bit,8,16,-,-,-,10.2.8.186,-,-,SSD,32 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
119,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,DB,　,m1-jpt-prd-zab-d01,Running,10.2.14.113,-,m1-jpt-prd-zab-d01,m1-jpt-prd-zab-d01,centos-7.9-64bit,16,32,"PostgreSQL 13.5
MariaDB 10.5.16",-,-,10.2.8.154,-,10.2.14.141,SSD,21.5 GB,SSD,21.5 GB,ISCSI,"3403.8 GB
3298.5 GB",HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.2,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
120,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,DB,　,m1-jpt-prd-zab-d02,Running,10.2.14.114,-,m1-jpt-prd-zab-d02,m1-jpt-prd-zab-d02,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,10.2.8.156,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,"3403.8 GB
3298.5 GB",HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.2,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
121,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,DB,　,m1-jpt-prd-zab-d03,Running,10.2.14.119,-,m1-jpt-prd-zab-d03,m1-jpt-prd-zab-d03,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,10.2.8.171,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,"3403.8 GB
2199.0 GB
3298.5 GB",HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.2,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
122,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,DB,　,m1-jpt-prd-zab-d04,Running,10.2.14.120,-,m1-jpt-prd-zab-d04,m1-jpt-prd-zab-d04,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,10.2.8.173,-,10.2.14.143,SSD,21.5 GB,SSD,21.5 GB,ISCSI,"3403.8 GB
2199.0 GB
3298.5 GB",HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.2,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
123,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,DB,　,m1-jpt-prd-zab-d05,Running,10.2.14.135,-,m1-jpt-prd-zab-d05,m1-jpt-prd-zab-d05,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.2.8.183,-,10.2.14.151,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
124,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,DB,　,m1-jpt-prd-zab-d06,Running,10.2.14.136,-,m1-jpt-prd-zab-d06,m1-jpt-prd-zab-d06,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.2.8.185,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
125,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,DB,　,m1-jpt-prd-zab-d07,Running,10.2.14.129,-,m1-jpt-prd-zab-d07,m1-jpt-prd-zab-d07,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.2.8.198,-,10.2.14.154,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
126,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,DB,　,m1-jpt-prd-zab-d08,Running,10.2.14.130,-,m1-jpt-prd-zab-d08,m1-jpt-prd-zab-d08,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.2.8.205,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
127,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,DB,　,m1-jpt-prd-zab-d09,Running,10.2.14.214,-,m1-jpt-prd-zab-d09,m1-jpt-prd-zab-d09,rocky-8.10-64bit,16,32,PostgreSQL 15.8,-,-,10.2.8.188,-,10.2.14.216,SSD,32 GB,SSD,20 GB,ISCSI,"2 TB
2 TB",HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
128,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode26,10.2.13.26,DB,　,m1-jpt-prd-zab-d10,Running,10.2.14.215,-,m1-jpt-prd-zab-d10,m1-jpt-prd-zab-d10,rocky-8.10-64bit,16,32,PostgreSQL 15.8,-,-,10.2.8.190,-,-,SSD,32 GB,SSD,20 GB,ISCSI,"2 TB
2 TB",HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
129,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-jpt-prd-zab-p01,Running,10.2.14.121,-,m1-jpt-prd-zab-p01,m1-jpt-prd-zab-p01,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.2.8.175,-,10.2.14.149,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
130,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,AP,　,m1-jpt-prd-zab-p02,Running,10.2.14.122,-,m1-jpt-prd-zab-p02,m1-jpt-prd-zab-p02,centos-7.9-64bit,8,8,-,-,-,10.2.8.177,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
131,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,AP,　,m1-jpt-prd-zab-p03,Running,10.2.14.123,-,m1-jpt-prd-zab-p03,m1-jpt-prd-zab-p03,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.2.8.179,-,10.2.14.150,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
132,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,AP,　,m1-jpt-prd-zab-p04,Running,10.2.14.124,-,m1-jpt-prd-zab-p04,m1-jpt-prd-zab-p04,centos-7.9-64bit,8,8,-,-,-,10.2.8.181,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
133,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,AP,　,m1-jpt-prd-zab-p05,Running,10.2.14.125,-,m1-jpt-prd-zab-p05,m1-jpt-prd-zab-p05,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.2.8.187,-,10.2.14.152,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
134,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-jpt-prd-zab-p06,Running,10.2.14.126,-,m1-jpt-prd-zab-p06,m1-jpt-prd-zab-p06,centos-7.9-64bit,8,8,-,-,-,10.2.8.189,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
135,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-jpt-prd-zab-p07,Running,10.2.14.127,-,m1-jpt-prd-zab-p07,m1-jpt-prd-zab-p07,centos-7.9-64bit,8,16,-,-,zabbix_proxy 5.0.25,10.2.8.194,-,10.2.14.153,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
136,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,AP,　,m1-jpt-prd-zab-p08,Running,10.2.14.128,-,m1-jpt-prd-zab-p08,m1-jpt-prd-zab-p08,centos-7.9-64bit,8,16,-,-,-,10.2.8.196,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
137,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-jpt-prd-zab-p09,Running,10.2.14.185,-,m1-jpt-prd-zab-p09,m1-jpt-prd-zab-p09,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.2.8.77,-,-,SSD,34.4 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
138,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,AP,　,m1-jpt-prd-zab-p10,Running,10.2.14.186,-,m1-jpt-prd-zab-p10,m1-jpt-prd-zab-p10,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.2.8.75,-,10.2.14.230,SSD,34.4 GB,-,-,ISCSI,"53.7 GB
53.7 GB",HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
139,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,WEB,　,m1-jpt-prd-zab-w01,Running,10.2.14.109,-,m1-jpt-prd-zab-w01,m1-jpt-prd-zab-w01,centos-7.9-64bit,4,8,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
140,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,WEB,　,m1-jpt-prd-zab-w02,Running,10.2.14.110,-,m1-jpt-prd-zab-w02,m1-jpt-prd-zab-w02,centos-7.9-64bit,4,8,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
141,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,WEB,　,m1-jpt-prd-zab-w03,Running,10.2.14.115,-,m1-jpt-prd-zab-w03,m1-jpt-prd-zab-w03,centos-7.9-64bit,4,4,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
142,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode07,10.2.7.7,WEB,　,m1-jpt-prd-zab-w04,Running,10.2.14.116,-,m1-jpt-prd-zab-w04,m1-jpt-prd-zab-w04,centos-7.9-64bit,4,4,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
143,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,WEB,　,m1-jpt-prd-zab-w05,Running,10.2.14.208,-,m1-jpt-prd-zab-w05,m1-jpt-prd-zab-w05,rocky-8.10-64bit,4,8,-,Apache/2.4.63,-,-,-,-,SSD,32 GB,SSD,70 GB,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,사용안함,O,O,O,O
144,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode08,10.2.7.8,WEB,　,m1-jpt-prd-zab-w06,Running,10.2.14.209,-,m1-jpt-prd-zab-w06,m1-jpt-prd-zab-w06,rocky-8.10-64bit,4,8,-,Apache/2.4.63,-,-,-,-,SSD,32 GB,SSD,70 GB,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,사용안함,O,O,O,O
145,LUPPITER,민간(EPC),스테이징(STG),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode02,10.2.7.2,LB,　,m1-jpt-stg-hap-a01,Running,10.2.14.189,-,m1-jpt-stg-hap-a01,m1-jpt-stg-hap-a01,centos-7.9-64bit,2,4,-,-,HAProxy version 2.6.1,-,-,-,SSD,34.4 GB,SSD,53.7 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
146,LUPPITER(ZABBIX),민간(EPC),스테이징(STG),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,AP,　,m1-jpt-stg-zab-p01,Running,10.2.14.197,-,m1-jpt-stg-zab-p01,m1-jpt-stg-zab-p01,rocky-8.10-64bit,4,4,-,-,zabbix_proxy 7.0.3,-,-,-,SSD,32 GB,SSD,50 GB,-,-,-,-,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,사용안함,O,X,X,X
147,LUPPITER(ZABBIX),민간(EPC),스테이징(STG),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,DB,　,m1-jpt-stg-zab-pd01,Running,10.2.14.199,-,m1-jpt-stg-zab-pd01,m1-jpt-stg-zab-pd01,rocky-8.10-64bit,4,8,PostgreSQL 15.8,-,-,-,-,-,SSD,32 GB,SSD,120 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,사용안함,O,X,X,X
148,GIT,민간(EPC),개발(DEV),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,AP,　,m1-ops-com-git-01,Running,10.2.14.229,-,m1-ops-com-git-01,m1-ops-com-git-01,centos-7.9-64bit,4,8,-,-,-,-,-,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
